,0,1,2,3,4
90,0,0,0,0,0
91,0,0,0,0,0
911,0,0,0,0,0
93,0,0,0,0,0
95,0,0,0,0,0
95th,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
97220,0,0,0,0,0
99,0,0,0,0,0
9900,0,0,0,0,0
998,0,0,0,0,0
99c,0,0,0,0,0
99diet,0,0,0,0,0
9am,0,0,0,0,0
9pm,0,0,0,0,0
9to5,0,0,0,0,0
__,0,0,0,0,0
_and,0,0,0,0,0
_l,0,0,0,0,0
aaaaaaaahhhhhhhhhhh,0,0,0,0,0
abbrevi,0,0,0,0,0
abc,0,0,0,0,0
abil,0,0,0,0,0
abl,0,0,0,0,0
abod,0,0,0,0,0
abour,0,0,0,0,0
abov,0,0,0,0,0
abram,0,0,0,0,0
abras,0,0,0,0,0
absolut,0,0,0,0,0
absorb,0,0,0,0,0
absurd,0,0,0,0,0
abund,0,0,0,0,0
abus,0,0,0,0,0
ac,0,0,0,0,0
accent,0,0,0,0,0
accept,0,0,0,0,0
access,0,0,0,0,0
accid,0,0,0,0,0
accident,0,0,0,0,0
accommod,0,0,0,0,0
accomplish,0,0,0,0,0
accord,0,0,0,0,0
accost,0,0,0,0,0
account,0,0,0,0,0
accoutr,0,0,0,0,0
accross,0,0,0,0,0
accur,0,0,0,0,0
accuraci,0,0,0,0,0
accuracy,0,0,0,0,0
accus,0,0,0,0,0
ach,0,0,0,0,0
achiev,0,0,0,0,0
acid,0,0,0,0,0
acknowledg,0,0,0,0,0
acquir,0,0,0,0,0
acr,0,0,0,0,0
across,0,0,0,0,0
act,0,0,1,0,0
action,0,0,0,0,0
activ,0,0,0,0,0
activist,0,0,0,0,0
actual,0,0,1,0,0
ad,0,0,0,0,0
add,0,0,0,0,0
added,0,0,0,0,0
addict,0,0,0,0,0
addion,0,0,0,0,0
addison,0,0,0,0,0
addit,0,0,0,0,0
address,0,0,0,0,0
adequ,0,0,0,0,0
adher,0,0,0,0,0
adjac,0,0,0,0,0
adjust,0,0,0,0,0
admir,0,0,0,0,0
admit,0,0,0,0,0
admittedli,0,0,0,0,0
adolesc,0,0,0,0,0
adorb,0,0,0,0,0
adult,0,0,0,0,0
advanc,0,0,0,0,0
advantag,0,0,0,0,0
adventur,0,0,0,0,0
advert,0,0,0,0,0
advertis,0,0,0,0,0
advic,0,0,0,0,0
advice,0,0,0,0,0
advis,0,0,0,0,0
advoc,0,0,0,0,0
af,0,0,0,0,0
afb,0,0,0,0,0
affix,0,0,0,0,0
affluent,0,0,0,0,0
afford,0,0,0,0,0
afghanistan,0,0,0,0,0
aforement,0,0,0,0,0
afraid,0,0,0,0,0
african,0,0,0,0,0
afro,0,0,0,0,0
aft,0,0,0,0,0
afteral,0,0,0,0,0
afternoon,0,0,0,0,0
aftertast,0,0,0,0,0
afterthought,0,0,0,0,0
afterward,0,0,0,0,0
age,0,0,0,0,0
agenda,0,0,0,0,0
aggrav,0,0,0,0,0
aggress,0,0,0,0,0
agin,0,0,0,0,0
ago,0,0,0,0,0
agonizingli,0,0,0,0,0
agre,0,0,0,0,0
agreement,0,0,0,0,0
ahead,0,0,0,0,0
ahemlax,0,0,0,0,0
ahhhhh,0,0,0,0,0
ai,0,0,0,0,0
air,0,0,0,0,0
airbrush,0,0,0,0,0
aircondit,0,0,0,0,0
airlin,0,0,0,0,0
airport,0,0,0,0,0
ajob,0,0,0,0,0
aka,0,0,0,0,0
akin,0,0,0,0,0
al,0,0,0,0,0
ala,0,0,0,0,0
alameda,0,0,0,0,0
alan,0,0,0,0,0
alarm,0,0,0,0,0
albeit,0,0,0,0,0
albertson,0,0,0,0,0
alcohol,0,0,0,0,0
alert,0,0,0,0,0
alertdo,0,0,0,0,0
alik,0,0,0,0,0
aliv,0,0,0,0,0
allegedli,0,0,0,0,0
allerg,0,0,0,0,0
allergi,0,0,0,0,0
alley,0,0,0,0,0
allianc,0,0,0,0,0
alllllllllllllllllll,0,0,0,0,0
allot,0,0,0,0,0
allow,0,0,0,0,0
allud,0,0,0,0,0
alma,0,0,0,0,0
almighti,0,0,0,0,0
almond,0,0,0,0,0
almost,0,0,0,0,0
aloft,0,0,0,0,0
alon,0,0,0,0,0
along,0,0,0,0,0
alot,0,0,0,0,0
aloud,0,0,0,0,0
alreadi,0,0,0,0,0
alright,0,0,0,0,0
also,0,1,0,0,1
alterc,0,0,0,0,0
altern,0,0,0,0,0
although,0,0,0,0,0
altogeth,0,0,0,0,0
alumnu,0,0,0,0,0
alway,0,0,0,0,0
amass,0,0,0,0,0
amateur,0,0,0,0,0
amaz,0,0,0,0,0
amazingli,0,0,0,0,0
ambassadori,0,0,0,0,0
ambianc,0,0,0,0,0
ambrosia,0,0,0,0,0
amend,0,0,0,0,0
america,0,0,0,0,0
american,0,0,0,0,0
amex,0,0,0,0,0
amiss,0,0,0,0,0
amnesti,0,0,0,0,0
amok,0,0,0,0,0
among,0,0,0,0,0
amongst,0,0,0,0,0
amount,0,0,0,0,0
ampl,0,0,0,0,0
amplifi,0,0,0,0,0
amt,0,0,0,0,0
amus,0,0,0,0,0
anarchi,0,0,0,0,0
ancient,0,0,0,0,0
ancillari,0,0,0,0,0
anem,0,0,0,0,0
angel,0,0,0,0,0
angl,0,0,0,0,0
angri,0,0,0,0,0
angsti,0,0,0,0,0
angu,0,0,0,0,0
anguish,0,0,0,0,0
ani,0,0,0,0,1
anim,0,0,0,0,0
announc,0,0,0,0,0
annoy,0,0,1,0,0
anomoli,0,0,0,0,0
anonym,0,0,0,0,0
anorex,0,0,0,0,0
anoth,0,0,0,0,0
answer,0,0,0,0,0
answersbi,0,0,0,0,0
ant,0,0,0,0,0
anther,0,0,0,0,0
anthoni,0,0,0,0,0
anticip,0,0,0,0,0
antiqu,0,0,0,0,0
antithesi,0,0,0,0,0
antsi,0,0,0,0,0
anxious,0,0,0,0,0
anybodi,0,0,0,0,0
anyhow,0,0,0,0,0
anymor,0,0,0,0,0
anymore,0,0,0,0,0
anyon,0,0,0,0,0
anyone,0,0,0,0,0
anyth,0,1,0,0,0
anything,0,0,0,0,0
anythingfin,0,0,0,0,0
anythingguy,0,0,0,0,0
anytim,0,0,0,0,0
anyway,0,0,0,0,0
anywher,0,0,0,0,0
anywho,0,0,0,0,0
apar,0,0,0,0,0
apart,0,0,0,0,0
apartment,0,0,0,0,0
apathet,0,0,0,0,0
apocalypse,0,0,0,0,0
apolog,0,0,0,0,0
apologet,0,0,0,0,0
apologist,0,0,0,0,0
appal,0,0,0,0,0
appar,0,0,0,0,0
apparantli,0,0,0,0,0
appeal,0,0,0,0,0
appear,0,0,0,0,0
appet,0,0,0,0,0
appetit,0,0,0,0,0
appl,0,0,0,0,0
apple,0,0,0,0,0
applebe,0,0,0,0,0
appli,0,0,0,0,0
appoint,0,0,0,0,0
appreci,0,0,0,0,0
apprehens,0,0,0,0,0
approach,0,0,1,0,0
appropri,0,0,0,0,0
approxim,0,0,0,0,0
apt,0,0,0,0,0
aptli,0,0,0,0,0
aquarium,0,0,0,0,0
arch,0,0,0,0,0
architectur,0,0,0,0,0
area,0,0,0,0,1
arena,0,0,0,0,0
arent,0,0,0,0,0
arggh,0,0,0,0,0
argh,0,0,0,0,0
argu,0,0,0,0,0
arguabl,0,0,0,0,0
argue,0,0,0,0,0
argument,0,0,0,0,0
arizona,0,0,0,0,0
arlington,0,0,0,0,0
arm,0,0,0,0,0
armageddon,0,0,0,0,0
aros,0,0,0,0,0
aroud,0,0,0,0,0
around,0,0,0,0,0
array,0,0,0,0,0
arrest,0,0,0,0,0
arriv,0,0,0,0,0
arrow,0,0,0,0,0
art,0,0,0,0,0
arteri,0,0,0,0,0
articl,0,0,0,0,0
artifici,0,0,0,0,0
artist,0,0,0,0,0
artsy,0,0,0,0,0
artwork,0,0,0,0,0
asap,0,0,0,0,0
asham,0,0,0,0,0
ashley,0,0,0,0,0
asian,0,0,0,0,0
asid,0,0,0,0,0
ask,0,0,4,0,1
asleep,0,0,0,0,0
aspect,0,0,0,0,0
ass,0,0,0,0,0
assault,0,0,0,0,0
assembl,0,0,0,0,0
assert,0,0,0,0,0
asshol,0,0,0,0,0
assist,0,0,0,0,0
associ,0,0,0,0,0
assort,0,0,0,0,0
asst,0,0,1,0,0
assum,0,0,0,0,0
assur,0,0,0,0,0
asylum,0,0,0,0,0
ate,0,0,0,0,0
atlant,0,0,0,0,0
atlanta,0,0,0,0,0
atleast,0,0,0,0,0
atm,0,0,0,0,0
atmospher,0,0,0,0,0
atroci,0,0,0,0,0
att,0,0,0,0,0
attach,0,0,0,0,0
attaching,0,0,0,0,0
attack,0,0,0,0,0
attempt,0,0,0,0,0
attend,0,0,0,0,0
attende,0,0,0,0,0
attent,0,0,0,0,0
attest,0,0,0,0,0
attir,0,0,0,0,0
attitud,0,0,0,0,0
attitude,0,0,0,0,0
attitudes,0,0,0,0,0
attract,0,0,0,0,0
attribut,0,0,0,0,0
aubrey,0,0,0,0,0
audac,0,0,0,0,0
audibl,0,0,0,0,0
audienc,0,0,0,0,0
auditorium,0,0,0,0,0
aunt,0,0,0,0,0
aura,0,0,0,0,0
australia,0,0,0,0,0
austria,0,0,0,0,0
austrian,0,0,0,0,0
authent,0,0,0,0,0
auto,0,0,0,0,0
autom,0,0,0,0,0
automat,0,0,0,0,0
avail,0,0,0,0,0
available,0,0,0,0,0
avarag,0,0,0,0,0
ave,0,0,0,0,0
avenu,0,0,0,0,0
averag,0,0,0,0,0
avoid,0,0,0,0,0
aw,0,0,0,0,0
await,0,0,0,0,0
awak,0,0,0,0,0
awar,0,0,0,0,0
award,0,0,0,0,0
away,0,0,0,0,1
awe,0,0,0,0,0
awesom,0,0,0,0,0
awful,0,0,0,0,0
awhil,0,0,0,0,0
awkward,0,0,0,0,0
awkwardli,0,0,0,0,0
awn,0,0,0,0,0
awnser,0,0,0,0,0
awoken,0,0,1,0,0
axi,0,0,0,0,0
ayisyen,0,0,0,0,0
b4,0,0,0,0,0
babi,0,0,0,0,0
baby,0,0,0,0,0
babysitt,0,0,0,0,0
back,0,0,0,0,1
backdrop,0,0,0,0,0
background,0,0,0,0,0
backhand,0,0,0,0,0
backpack,0,0,0,0,0
bacon,0,0,0,0,0
bad,0,0,0,0,0
badass,0,0,0,0,0
badg,0,0,0,0,0
badli,0,0,0,0,0
baffl,0,0,0,0,0
bag,0,0,0,0,0
bagcount,0,0,0,0,0
bagel,0,0,0,0,0
bags,0,0,0,0,0
baguett,0,0,0,0,0
bak,0,0,0,0,0
balanc,0,0,0,0,0
ball,0,0,0,0,0
ban,0,0,0,0,0
banana,0,0,0,0,0
band,0,0,0,0,0
bang,0,0,0,0,0
bank,0,0,0,0,0
bar,0,0,0,0,0
barbeque,0,0,0,0,0
barbi,0,0,0,0,0
bare,0,0,0,0,0
bargain,0,0,0,0,0
bark,0,0,0,0,0
barnwel,0,0,0,0,0
barrag,0,0,0,0,0
barrel,0,0,0,0,0
barricad,0,0,0,0,0
barrier,0,0,0,0,0
bars,0,0,0,0,0
barter,0,0,0,0,0
bas,0,0,0,0,0
base,0,0,0,0,0
basebal,0,0,0,0,0
based,0,0,0,0,0
basement,0,0,0,0,0
basi,0,0,0,0,0
basic,0,0,0,0,0
basketbal,0,0,0,0,0
bastard,0,0,0,0,0
bat,0,0,0,0,0
batch,0,0,0,0,0
bath,0,0,0,0,0
bathroom,0,0,0,0,0
batshit,0,0,0,0,0
batter,0,0,0,0,0
battl,0,0,0,0,0
bc,0,0,0,0,0
bca,0,0,0,0,0
beach,0,0,0,0,0
beacon,0,0,0,0,0
bean,0,0,0,0,0
beard,0,0,0,0,0
bearli,0,0,0,0,0
beast,0,0,0,0,0
beat,0,0,0,0,0
beaten,0,0,0,0,0
beater,0,0,0,0,0
beauti,0,0,0,0,0
beaverton,0,0,0,0,0
becam,0,0,0,0,0
becaus,0,0,0,1,0
becom,0,0,0,0,0
bed,0,0,0,0,0
beechnut,0,0,0,0,0
beef,0,0,0,0,0
beep,0,0,0,0,0
beer,0,0,0,0,0
befor,0,1,0,0,0
beforehand,0,0,0,0,0
beg,0,0,0,0,0
began,0,0,0,0,0
beggar,0,0,0,0,0
begger,0,0,0,0,0
begin,0,0,0,0,0
begrudgingli,0,0,1,0,0
behavior,0,0,0,0,0
behest,0,0,0,0,0
behind,0,0,0,0,0
behold,0,0,0,0,0
believ,0,0,0,0,1
belittl,0,0,0,0,0
bell,0,0,0,0,0
belli,0,0,0,0,0
belliger,0,0,0,0,0
bellow,0,0,0,0,0
belong,0,0,0,0,0
belt,0,0,0,0,0
beltiln,0,0,0,0,0
beltway,0,0,0,0,0
bench,0,0,0,0,0
benchmark,0,0,0,0,0
bend,0,0,0,0,0
beneath,0,0,0,0,0
benefici,0,0,0,0,0
benefit,0,0,0,0,1
beng,0,0,0,0,0
bent,0,0,0,0,0
berat,0,0,0,0,0
berri,0,0,0,0,0
besid,0,0,0,0,0
best,0,0,0,0,0
bet,0,0,0,0,0
better,1,0,0,0,1
beverag,0,0,0,0,0
bewar,0,0,0,0,0
bewild,0,0,0,0,0
beyond,0,0,0,0,0
bf,0,0,0,0,0
bfast,0,0,0,0,0
bi,0,0,0,0,0
bibl,0,0,0,0,0
biblic,0,0,0,0,0
bic,0,0,0,0,0
bicker,0,0,0,0,0
big,0,0,0,0,0
bigg,0,0,0,0,0
bigger,0,0,0,0,0
biggest,0,0,0,0,0
bigin,0,0,0,0,0
bigots,0,0,0,0,0
bigtim,0,0,0,0,0
bike,0,0,0,0,0
bilingu,0,0,0,0,0
bill,0,0,0,0,0
bin,0,0,0,0,0
bird,0,0,0,0,0
birthday,0,0,0,0,0
biscayn,0,0,0,0,0
biscuit,0,0,1,0,0
biscut,0,0,0,0,0
bisi,0,0,0,0,0
bit,0,0,0,0,0
bitch,0,0,0,0,0
bite,0,0,0,0,0
bitter,0,0,0,0,0
biz,0,0,0,0,0
bizarr,0,0,0,0,0
black,0,0,0,0,0
blackberri,0,0,0,0,0
blackmac,0,0,0,0,0
blackwat,0,0,0,0,0
bladder,0,0,0,0,0
blade,0,0,0,0,0
blah,0,0,0,0,0
blame,0,0,0,0,0
bland,0,0,0,0,0
blank,0,0,0,0,0
blanket,0,0,0,0,0
blankli,0,0,0,0,0
blare,0,0,0,0,0
blast,0,0,0,0,0
blatant,0,0,0,0,0
blatantli,0,0,0,0,0
blaze,0,0,0,0,0
bleach,0,0,0,0,0
bleak,0,0,0,0,0
blech,0,0,0,0,0
bleh,0,0,0,0,0
blend,0,0,0,0,0
blender,0,0,0,0,0
bless,0,0,0,0,0
blew,0,0,0,0,0
blind,0,0,0,0,0
blitz,0,0,0,0,0
blob,0,0,0,0,0
block,0,0,0,0,0
blockag,0,0,0,0,0
blondish,0,0,0,0,0
blood,0,0,0,0,0
bloodi,0,0,0,0,0
bloodstream,0,0,0,0,0
bloomi,0,0,0,0,0
blow,0,0,0,0,0
blown,0,0,0,0,0
blue,0,0,0,0,0
blueberri,0,0,0,0,0
blunder,0,0,0,0,0
blur,0,0,0,0,0
blurt,0,0,0,0,0
blusteri,0,0,0,0,0
blvd,0,0,0,0,0
bmw,0,0,0,0,0
board,0,0,0,0,0
boast,0,0,0,0,0
boat,0,0,0,0,0
bob,0,0,0,0,0
boca,0,0,0,0,0
bodi,0,0,0,0,0
boggl,0,0,0,0,0
boil,0,0,0,0,0
bois,0,0,0,0,0
bold,0,0,0,0,0
bolt,0,0,0,0,0
bomb,0,0,0,0,0
bombard,0,0,0,0,0
bonanza,0,0,0,0,0
bone,0,0,0,0,0
bonu,0,0,0,0,0
bonus,0,0,0,0,0
boo,0,0,0,0,0
book,0,0,0,0,0
bookmark,0,0,0,0,0
booooo,0,0,0,0,0
boost,0,0,0,0,0
boot,0,0,0,0,0
booth,0,0,0,0,0
border,0,0,0,0,0
borderlin,0,0,0,0,0
bore,0,0,0,0,0
born,0,0,0,0,0
boss,0,0,0,0,0
boston,0,0,0,0,0
bot,0,0,0,0,0
botch,0,0,0,0,0
bother,0,1,1,0,0
bottl,0,0,0,0,0
bottlecap,0,0,0,0,0
bottom,0,0,0,0,0
bottomlin,0,0,0,0,0
bought,0,0,0,0,0
boulder,0,0,0,0,0
boulevard,0,0,0,0,0
bounc,0,0,0,0,0
bound,0,0,0,0,0
bowel,0,0,0,0,0
boweri,0,0,0,0,0
box,0,0,0,0,0
boy,0,0,0,0,0
boycot,0,0,0,0,0
boycott,0,0,0,0,0
boyfriend,0,0,0,0,0
boytoy,0,0,0,0,0
brain,0,0,0,0,0
branch,0,0,0,0,0
brand,0,0,0,0,0
brandon,0,0,0,0,0
brass,0,0,0,0,0
bravo,0,0,0,0,0
brawl,0,0,0,0,0
bread,0,0,0,0,0
break,0,0,0,0,0
breakfaat,0,0,0,0,0
breakfast,0,0,1,0,0
breath,0,0,0,0,0
breez,0,0,0,0,0
brekki,0,0,0,0,0
brew,0,0,0,0,0
breweri,0,0,0,0,0
bridg,0,0,0,0,0
bridgeland,0,0,0,0,0
brief,0,0,0,0,0
briefli,0,0,0,0,0
bright,0,0,0,0,0
brighter,0,0,0,0,0
brightli,0,0,0,0,0
bring,0,0,0,0,0
brisk,0,0,0,0,0
bro,0,0,0,0,0
broad,0,0,0,0,0
broiler,0,0,0,0,0
broke,0,0,0,0,0
broken,0,0,0,0,0
bronx,0,0,0,0,0
bronz,0,0,0,0,0
bronzevil,0,0,0,0,0
broodl,0,0,0,0,0
brook,0,0,0,0,0
broom,0,0,0,0,0
brother,0,0,0,0,0
brought,0,0,0,0,0
brown,0,0,0,0,0
brush,0,0,0,0,0
brutal,0,0,0,0,0
bruuuutal,0,0,0,0,0
bsing,0,0,0,0,0
bt,0,0,0,0,0
btw,0,0,0,0,0
bu,0,0,0,0,0
bubbl,0,0,0,0,0
buck,0,0,0,0,0
bucket,0,0,0,0,0
bucktown,0,0,0,0,0
bud,0,0,0,0,0
buddha,0,0,0,0,0
buddi,0,0,0,0,0
budget,0,0,0,0,0
bueno,0,0,0,0,0
buffalo,0,0,0,0,0
buffet,0,0,0,0,0
buffoons,0,0,0,0,0
bug,0,0,0,0,0
bugh,0,0,0,0,0
build,0,0,0,0,0
built,0,0,0,0,0
bulb,0,0,0,0,0
bull,0,0,0,0,0
bulldoz,0,0,0,0,0
bullet,0,0,0,0,0
bulli,0,0,0,0,0
bullshit,0,0,0,0,0
bum,0,0,0,0,0
bump,0,0,0,0,0
bums,0,0,0,0,0
bun,0,0,0,0,0
bunch,0,0,0,0,0
burb,0,0,0,0,0
burden,0,0,0,0,0
burger,0,0,0,0,0
burgers,0,0,0,0,0
burgervil,0,0,0,0,0
burn,0,0,0,0,0
burnt,0,0,0,0,0
burrito,0,0,0,0,0
buscuit,0,0,0,0,0
buse,0,0,0,0,0
bush,0,0,0,0,0
bushi,0,0,0,0,0
busi,0,0,0,0,1
busier,0,0,0,0,0
busiest,0,0,0,0,0
businesssss,0,0,0,0,0
busload,0,0,0,0,0
bust,0,0,0,0,0
busy,0,0,0,0,0
butt,0,0,0,0,0
butter,0,0,0,0,0
butterfing,0,0,0,0,0
buttermilk,0,0,0,0,0
button,0,0,0,0,0
buuuuut,0,0,0,0,0
buuuuuut,0,0,0,0,0
buy,0,0,0,0,0
buzz,0,0,0,0,0
bye,0,0,0,0,0
bypass,0,0,0,0,0
ca,0,0,0,0,0
cab,0,0,0,0,0
cabinets,0,0,0,0,0
cabron,0,0,0,0,0
cackl,0,0,0,0,0
cacti,0,0,0,0,0
cactu,0,0,0,0,0
caddi,0,0,0,0,0
caf,0,0,0,0,0
cafe,0,0,0,0,0
cafeteria,0,0,0,0,0
caffein,0,0,0,0,0
cage,0,0,0,0,0
cake,0,0,0,0,0
cal,0,0,0,0,0
california,0,0,0,0,0
call,0,0,0,0,0
called,0,0,0,0,0
callin,0,0,0,0,0
calm,0,0,0,0,0
calmer,0,0,0,0,0
calmli,0,0,0,0,0
calori,0,0,0,0,0
camaraderi,0,0,0,0,0
came,0,1,0,0,0
camp,0,0,0,0,0
campu,0,0,0,0,0
campus,0,0,0,0,0
canada,0,0,0,0,0
canadian,0,0,0,0,0
canal,0,0,0,0,0
cancel,0,0,0,0,0
candi,0,0,0,0,0
cane,0,0,0,0,0
cant,0,0,0,0,0
cantata,0,0,0,0,0
capabl,0,0,0,0,0
cappuccino,0,0,0,0,0
captiv,0,0,0,0,0
car,0,0,0,0,0
caramel,0,0,0,0,0
caravan,0,0,0,0,0
carb,0,0,0,0,0
carbon,0,0,0,0,0
carbs,0,0,0,0,0
card,0,0,0,0,0
cardboard,0,0,0,0,0
cardin,0,0,0,0,0
care,1,0,1,0,0
careless,0,0,0,0,0
carl,0,0,0,0,0
carmel,0,0,0,0,0
carnegi,0,0,0,0,0
carohshit,0,0,0,0,0
carpet,0,0,0,0,0
carpul,0,0,0,0,0
carri,0,0,0,0,0
carrier,0,0,0,0,0
carrot,0,0,0,0,0
cart,0,0,0,0,0
carter,0,0,0,0,0
carton,0,0,0,0,0
cartoon,0,0,0,0,0
cas,0,0,0,0,0
case,0,0,0,0,0
cash,0,0,0,0,0
cashier,0,0,0,0,0
casino,0,0,0,0,0
cast,0,0,0,0,0
castl,0,0,0,0,0
castup,0,0,0,0,0
casual,0,0,0,0,0
cat,0,0,0,0,0
catalina,0,0,0,0,0
catch,0,0,0,0,0
categori,0,0,0,0,0
categories,0,0,0,0,0
cattl,0,0,0,0,0
caught,0,0,0,0,0
caus,0,0,0,0,0
causeway,0,0,0,0,0
caution,0,0,0,0,0
cautiou,0,0,0,0,0
cc,0,0,0,0,0
cd,0,0,0,0,0
cdc,0,0,0,0,0
cean,0,0,0,0,0
celebratori,0,0,0,0,0
cell,0,0,0,0,0
cellphon,0,0,0,0,0
cellular,0,0,0,0,0
cent,0,0,0,0,0
center,0,0,0,0,0
centr,0,0,0,0,0
central,0,0,0,0,0
centuri,0,0,0,0,0
certain,0,0,0,0,0
certainli,0,0,0,0,0
certainti,0,0,0,0,0
certif,0,0,0,0,0
cesspool,0,0,0,0,0
chain,0,0,0,0,0
chains,0,0,0,0,0
chair,0,0,0,0,0
chalki,0,0,0,0,0
challeng,0,0,0,0,0
challenging,0,0,0,0,0
champ,0,0,0,0,0
chanc,0,0,0,0,2
chandeli,0,0,0,0,0
chang,0,0,0,0,0
channel,0,0,0,0,0
chano,0,0,0,0,0
chao,0,0,0,0,0
chaotic,0,0,0,0,0
charact,0,0,0,0,0
characterist,0,0,0,0,0
characters,0,0,0,0,0
charad,0,0,0,0,0
charg,0,0,0,0,0
charger,0,0,0,0,0
